Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score,Home Played,Home Wins,Home Losses,Home GF,Home GA,Away Played,Away Wins,Away Losses,Away GF,Away GA
1,Liverpool FC,8,7,1,21,17,5,12,94.0,4,4,0,10,1,4,3,1,7,4
2,FC Barcelona,8,6,1,19,28,13,15,91.25,4,3,0,14,3,4,3,1,14,10
3,Arsenal FC,8,6,1,19,16,3,13,87.25,4,4,0,9,0,4,2,1,7,3
4,FC Internazionale Milano,8,6,1,19,11,1,10,81.25,4,4,0,9,0,4,2,1,2,1
5,Club Atlético de Madrid,8,6,2,18,20,12,8,76.0,4,3,1,8,6,4,3,1,12,6
6,Bayer 04 Leverkusen,8,5,2,16,15,7,8,67.25,4,4,0,9,0,4,1,2,6,7
7,Lille OSC,8,5,2,16,17,10,7,65.25,4,3,0,11,4,4,2,2,6,6
8,Aston Villa FC,8,5,2,16,13,6,7,65.25,4,3,0,7,2,4,2,2,6,4
9,Atalanta BC,8,4,1,15,20,6,14,71.75,5,1,2,8,6,5,3,1,14,5
10,Borussia Dortmund,8,5,3,15,22,12,10,70.0,5,3,1,13,5,5,3,2,12,7
11,Real Madrid CF,8,5,3,15,20,12,8,66.0,5,4,1,17,8,5,3,2,9,7
12,FC Bayern München,8,5,3,15,20,12,8,66.0,5,4,0,15,4,5,2,3,8,10
13,AC Milan,8,5,3,15,14,11,3,56.0,5,3,1,8,6,5,2,3,7,7
14,PSV,8,4,2,14,16,12,4,50.5,5,4,0,14,6,5,1,3,6,9
15,Paris Saint-Germain FC,8,4,3,13,14,9,5,51.25,5,3,1,14,5,5,3,2,10,4
16,Sport Lisboa e Benfica,8,4,3,13,16,12,4,49.25,5,1,2,12,11,5,4,1,8,4
17,AS Monaco FC,8,4,3,13,13,13,0,41.25,5,3,2,10,6,5,1,2,6,11
18,Stade Brestois 29,8,4,3,13,10,11,-1,39.25,5,2,2,4,8,5,2,3,6,13
19,Feyenoord Rotterdam,8,4,3,13,18,21,-3,35.25,5,3,2,9,9,5,2,1,11,13
20,Juventus FC,8,3,2,12,9,7,2,37.75,5,3,2,7,5,5,1,1,5,6
21,Celtic FC,8,3,2,12,13,14,-1,31.75,5,3,1,11,5,5,0,2,4,12
22,Manchester City FC,8,3,3,11,18,14,4,40.5,5,2,1,13,7,5,1,4,8,13
23,Sporting Clube de Portugal,8,3,3,11,13,12,1,34.5,5,2,2,8,10,5,1,2,5,5
24,Club Brugge KV,8,3,3,11,7,11,-4,24.5,5,3,1,5,5,5,2,2,7,8
25,GNK Dinamo Zagreb,8,3,3,11,12,19,-7,18.5,4,1,1,4,6,4,2,2,8,13
26,VfB Stuttgart,8,3,4,10,13,17,-4,23.25,4,1,2,7,8,4,2,2,6,9
27,FK Shakhtar Donetsk,8,2,5,7,8,16,-8,5.25,4,2,2,5,9,4,0,3,3,7
28,Bologna FC 1909,8,1,4,6,4,9,-5,3.75,4,1,2,3,4,4,0,2,1,5
29,FK Crvena Zvezda,8,2,6,6,13,22,-9,2.0,4,1,3,10,11,4,1,3,3,11
30,SK Sturm Graz,8,2,6,6,5,14,-9,2.0,4,2,2,2,3,4,0,4,3,11
31,AC Sparta Praha,8,1,6,4,7,21,-14,-16.75,4,1,3,4,9,4,0,3,3,12
32,RB Leipzig,8,1,7,3,8,15,-7,-4.0,4,1,3,6,8,4,0,4,2,7
33,Girona FC,8,1,7,3,5,13,-8,-6.0,4,1,3,5,6,4,0,4,0,7
34,FC Red Bull Salzburg,8,1,7,3,5,27,-22,-34.0,4,0,4,1,13,4,1,3,4,14
35,ŠK Slovan Bratislava,8,0,8,0,7,27,-20,-40.0,4,0,4,4,14,4,0,4,3,13
36,BSC Young Boys,8,0,8,0,3,24,-21,-42.0,4,0,4,1,11,4,0,4,2,13
